PID,E,px,py,pz
-211.,90.515,1.251,-0.162,90.506
-211.,90.515,1.251,-0.162,90.506
-211.,90.515,1.251,-0.162,90.506
-211.,90.515,1.251,-0.162,90.506
-211.,90.515,1.251,-0.162,90.506
-211.,90.515,1.251,-0.162,90.506
-211.,90.515,1.251,-0.162,90.506
-211.,90.515,1.251,-0.162,90.506
-211.,2.439,-0.539,-0.368,2.346
-211.,2.439,-0.539,-0.368,2.346
-211.,2.439,-0.539,-0.368,2.346
-211.,2.439,-0.539,-0.368,2.346
-211.,2.439,-0.539,-0.368,2.346
-211.,2.439,-0.539,-0.368,2.346
-211.,2.439,-0.539,-0.368,2.346
-211.,2.439,-0.539,-0.368,2.346
211.,24.799,-0.039,-0.231,24.797
211.,24.799,-0.039,-0.231,24.797
211.,24.799,-0.039,-0.231,24.797
211.,24.799,-0.039,-0.231,24.797
211.,24.799,-0.039,-0.231,24.797
211.,24.799,-0.039,-0.231,24.797
211.,24.799,-0.039,-0.231,24.797
