"HitID","r[cm]","phi","z[cm]","layer_id","particle_id"
701,3.1,0.07741935483870968,-0.24,1,1889
702,5.05,0.08217821782178218,-0.4,2,1889
703,8.85,0.09435028248587571,-0.68,3,1889
704,12.25,0.10448979591836734,-0.92,4,1889
705,29.9,0.1577190635451505,-2.24,5,1889
706,37.1,0.17943935309973044,-2.8000000000000003,6,1889
707,44.3,0.201313769751693,-3.36,7,1889
708,51.4,0.22298443579766536,-3.88,8,1889
709,3.1,2.1596774193548387,1.28,1,1893
710,5.05,2.1623762376237625,2.12,2,1893
711,8.85,2.1661016949152545,3.68,3,1893
712,12.25,2.1693877551020404,5.12,4,1893
713,29.9,2.187257525083612,12.48,5,1893
714,37.1,2.194512129380054,15.48,6,1893
715,44.3,2.2017110609480812,18.48,7,1893
716,51.4,2.2088754863813227,21.44,8,1893
717,3.1,2.0387096774193547,7.8,1,1897
718,5.05,2.0475247524752476,12.72,2,1897
719,8.85,2.0638418079096046,22.28,3,1897
720,12.25,2.0791836734693874,30.84,4,1897
721,29.9,2.156782608695652,75.44,5,1897
722,37.1,2.1886469002695415,93.76,6,1897
723,44.3,2.2208216704288937,112.16,7,1897
724,51.4,2.2526653696498053,130.4,8,1897
725,3.1,0.5419354838709678,-18.36,1,1927
726,5.05,0.5683168316831684,-29.88,2,1927
727,8.85,0.6180790960451977,-52.480000000000004,3,1927
728,12.25,0.6636734693877551,-72.76,4,1927
729,29.9,0.9071973244147157,-181.8,5,1927
730,37.1,1.012943396226415,-229.32,6,1927
731,44.3,1.1261444695259593,-279.88,7,1927
732,51.4,1.2476147859922178,-334.2,8,1927
733,3.1,-2.662903225806452,6.5200000000000005,1,2014
734,5.05,-2.6495049504950496,10.6,2,2014
735,8.85,-2.623728813559322,18.6,3,2014
736,12.25,-2.600816326530612,25.76,4,2014
737,29.9,-2.479498327759197,63.24,5,2014
738,37.1,-2.4293045822102424,78.76,6,2014
739,44.3,-2.3783882618510157,94.48,7,2014
740,51.4,-2.3274785992217897,110.28,8,2014
741,3.1,2.153225806451613,14.84,1,2028
742,5.05,2.1584158415841586,24.2,2,2028
743,8.85,2.168361581920904,42.4,3,2028
744,12.25,2.177142857142857,58.68,4,2028
745,29.9,2.222963210702341,143.36,5,2028
746,37.1,2.2416172506738543,178.,6,2028
747,44.3,2.2603476297968395,212.68,7,2028
748,51.4,2.278793774319066,246.92000000000002,8,2028
749,3.1,-2.0258064516129033,5.16,1,2035
750,5.05,-2.0306930693069307,8.4,2,2035
751,8.85,-2.0429378531073445,14.72,3,2035
752,12.25,-2.053469387755102,20.400000000000002,4,2035
753,29.9,-2.107772575250836,49.800000000000004,5,2035
754,37.1,-2.130086253369272,61.84,6,2035
755,44.3,-2.152437923250564,73.92,7,2035
756,51.4,-2.1744785992217897,85.88,8,2035
757,3.1,-2.411290322580645,4.84,1,2036
758,5.05,-2.405940594059406,7.88,2,2036
759,8.85,-2.3949152542372882,13.8,3,2036
760,12.25,-2.3853061224489793,19.12,4,2036
761,29.9,-2.3336053511705686,46.72,5,2036
762,37.1,-2.3125498652291103,58.,6,2036
763,44.3,-2.2914311512415346,69.28,7,2036
764,51.4,-2.2705252918287937,80.48,8,2036
765,3.1,-1.7596774193548388,9.76,1,2040
766,5.05,-1.7534653465346535,15.88,2,2040
767,8.85,-1.7401129943502824,27.84,3,2040
768,12.25,-1.7285714285714284,38.56,4,2040
769,29.9,-1.667705685618729,94.24,5,2040
770,37.1,-1.6427223719676547,117.04,6,2040
771,44.3,-1.6178013544018057,139.88,7,2040
772,51.4,-1.592906614785992,162.56,8,2040
773,3.1,-3.029032258064516,14.24,1,2043
774,5.05,-3.0554455445544555,23.240000000000002,2,2043
